City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
398,Prince Rupert,CA,54.3161,-130.3201,40.19,91,100,13.96,moderate rain
399,Natalio,PY,-26.7167,-55.0833,55.87,99,100,5.39,overcast clouds
400,Kitimat,CA,54.0524,-128.6534,43.92,40,100,4.56,light rain
401,Alyangula,AU,-13.8483,136.4192,80.33,76,4,9.91,clear sky
402,Uchiza,PE,-8.4592,-76.4633,78.35,76,91,0.87,overcast clouds
403,Cervo,ES,43.6702,-7.4101,58.03,78,15,13.18,few clouds
404,Nyurba,RU,63.2842,118.3319,30.18,82,100,10.54,overcast clouds
405,Nambucca Heads,AU,-30.65,153.0,59.0,91,12,4.29,few clouds
406,Tuburan,PH,6.6439,122.2736,78.89,76,100,4.65,moderate rain
407,Astoria,US,46.1879,-123.8313,48.7,92,82,1.01,broken clouds
408,Bridgend,GB,51.5058,-3.5772,62.22,77,100,5.99,overcast clouds
409,Vetluzhskiy,RU,58.3902,45.4654,52.16,61,100,13.15,overcast clouds
410,Gimli,CA,50.6336,-96.9907,35.76,73,100,4.36,overcast clouds
411,Samarkand,UZ,39.6542,66.9597,67.42,68,40,4.61,scattered clouds
412,Parintins,BR,-2.6283,-56.7358,88.93,61,49,1.41,scattered clouds
413,Palmer,US,42.1584,-72.3287,52.65,77,100,3.44,overcast clouds
414,Bluefields,NI,12.0137,-83.7635,84.47,71,56,7.02,broken clouds
415,Shasta Lake,US,40.6804,-122.3708,54.82,44,0,7.09,clear sky
416,Wonthaggi,AU,-38.6044,145.5913,60.82,61,0,15.39,clear sky
417,Tarragona,ES,41.129,1.249,66.38,62,20,14.97,few clouds
418,Berlin,DE,52.5244,13.4105,65.08,48,0,8.05,clear sky
419,Saint-Hyacinthe,CA,45.6168,-72.9491,61.83,72,100,7.16,overcast clouds
420,Broome,US,42.2506,-75.833,64.47,62,40,8.05,scattered clouds
