City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Haifa,IL,81.54,broken clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
537,Kasongo-Lunda,CD,76.5,light rain,-6.4667,16.8167,
542,Ewo,CG,87.4,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
544,Padilla,CO,80.17,broken clouds,3.2204,-76.3139,La Granadina
547,Belmonte,BR,82.31,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
549,Agadir,MA,77.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
550,Morondava,MG,79.79,clear sky,-20.2833,44.2833,La Case Bambou
552,Kibiti,TZ,75.45,scattered clouds,-7.7218,38.9375,Experia Guest House
553,Matadi,CD,87.33,light rain,-5.8167,13.45,Hotel Vivi Palace
555,Vanimo,PG,78.98,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
556,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
558,Tomball,US,81.82,broken clouds,30.0972,-95.6161,La Quinta Inn & Suites by Wyndham Tomball
567,Namatanai,PG,80.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
569,Utmanzai,PK,84.81,scattered clouds,34.188,71.7629,ENGR. JUNAID ZAMAN HOME
574,Darab,IR,80.02,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
584,Sarangani,PH,81.05,overcast clouds,5.4033,125.4636,Ballistic Islet
585,Mathathane,BW,75.67,clear sky,-22.2687,28.7495,Selepswe Resort
586,Placido De Castro,BR,86.29,overcast clouds,-10.3353,-67.1856,Hotel Carioca
588,Acarau,BR,85.35,broken clouds,-2.8856,-40.12,castelo pizzaria
593,Anloga,GH,85.05,scattered clouds,5.7947,0.8973,Pin Drop Hotel
596,Fonte Boa,BR,79.03,overcast clouds,-2.4959,-66.2662,
599,Madimba,TZ,78.24,few clouds,-10.4,40.3333,
601,Aksu,CN,77.83,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
605,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
606,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
611,Bandarban,BD,76.71,overcast clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
613,Siuna,NI,82.0,scattered clouds,13.7332,-84.7773,hotel los chinitos
615,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
617,Kuah,MY,82.38,very heavy rain,6.3265,99.8432,Azio Hotel
618,Bac Lieu,VN,83.43,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
624,Sao Jose Da Coroa Grande,BR,81.55,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
626,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
632,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
633,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
634,Pauini,BR,84.47,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
635,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
636,Teknaf,BD,80.98,clear sky,20.8624,92.3058,Forestry Guesthouse
637,Popondetta,PG,75.09,broken clouds,-8.7537,148.2534,Timos Transit House
639,Ipameri,BR,86.02,scattered clouds,-17.7219,-48.1597,Real Hotel
644,Tivaouane,SN,80.94,broken clouds,14.9515,-16.8129,SOUNOU KEUR
647,Ascension,US,82.99,broken clouds,30.2169,-90.9001,Highland Inn
650,Wilmington,US,84.97,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
651,Salinopolis,BR,79.83,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
657,Saint-Pierre,RE,76.68,scattered clouds,-21.3393,55.4781,Alize Plage
659,Del Rio,US,78.24,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
662,Tucupita,VE,87.89,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
667,Coxim,BR,89.78,scattered clouds,-18.5067,-54.76,Hotel Avenida
670,Rodrigues Alves,BR,82.6,overcast clouds,-7.738,-72.6509,Pousada Aconchego
678,Aden,YE,86.4,clear sky,12.7794,45.0367,Sama Emirate Hotel
679,Trairi,BR,83.21,overcast clouds,-3.2778,-39.2689,janelas do mar
684,Lakatoro,VU,78.93,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
693,Mogadishu,SO,83.55,overcast clouds,2.0371,45.3438,Hotel Juba
698,Tecoanapa,MX,85.55,overcast clouds,16.5167,-98.75,Hotel Manglares
701,Prado,BR,82.54,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
707,Matara,LK,80.74,few clouds,5.9485,80.5353,Amaloh Boutique Resort
708,El Vigia,VE,89.98,scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
709,Boca Do Acre,BR,83.82,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
710,Qui Nhon,VN,77.22,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
