City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Tasiilaq,GL,2022-04-27 22:34:29,65.6145,-37.6368,33.96,85,99,5.93
111,Komsomolskiy,UZ,2022-04-27 22:34:30,40.4272,71.7189,57.92,77,1,3.13
112,Xuddur,SO,2022-04-27 22:34:30,4.1213,43.8894,74.3,82,74,11.03
113,Bethel,US,2022-04-27 22:34:31,41.3712,-73.414,49.51,50,100,12.66
114,Cape Town,ZA,2022-04-27 22:34:31,-33.9258,18.4232,59.92,86,0,13.0
115,Joshimath,IN,2022-04-27 22:34:31,30.5667,79.5667,59.99,36,0,7.29
116,Saldanha,ZA,2022-04-27 22:29:40,-33.0117,17.9442,53.65,69,3,12.48
117,Asyut,EG,2022-04-27 22:34:32,27.181,31.1837,76.73,18,0,7.94
118,Linxia,CN,2022-04-27 22:34:33,35.6003,103.2064,43.27,65,100,0.87
119,Griffith,US,2022-04-27 22:30:22,41.5284,-87.4237,39.4,72,75,11.5
120,Kshenskiy,RU,2022-04-27 22:34:33,51.8408,37.7136,44.08,89,55,5.93
121,Ribeira Grande,PT,2022-04-27 22:34:34,38.5167,-28.7,64.13,93,93,30.78
122,Katsuura,JP,2022-04-27 22:34:34,35.1333,140.3,60.82,55,100,22.28
123,Georgetown,MY,2022-04-27 22:34:34,5.4112,100.3354,82.33,94,20,1.14
124,Hofn,IS,2022-04-27 22:34:35,64.2539,-15.2082,41.63,84,100,4.85
125,Guarapari,BR,2022-04-27 22:30:51,-20.6667,-40.4975,78.89,87,1,7.81
126,Antofagasta,CL,2022-04-27 22:31:44,-23.65,-70.4,61.88,81,9,8.03
127,Victoria,HK,2022-04-27 22:32:35,22.2855,114.1577,84.18,87,43,10.0
128,Rudnya,RU,2022-04-27 22:34:36,54.947,31.0934,36.93,77,100,10.47
129,Isangel,VU,2022-04-27 22:34:36,-19.55,169.2667,79.86,71,100,15.68
130,Touros,BR,2022-04-27 22:34:36,-5.1989,-35.4608,79.11,83,98,11.14
131,Copiapo,CL,2022-04-27 22:34:37,-27.3667,-70.3333,56.89,50,0,2.13
132,Grindavik,IS,2022-04-27 22:34:37,63.8424,-22.4338,44.55,87,75,1.14
133,Kodiak,US,2022-04-27 22:34:38,57.79,-152.4072,42.31,81,20,6.91
134,Namibe,AO,2022-04-27 22:34:38,-15.1961,12.1522,71.89,78,0,2.46
135,Ixtapa,MX,2022-04-27 22:34:38,20.7,-105.2,79.83,69,0,14.97
136,Santiago De Cao,PE,2022-04-27 22:34:39,-7.9589,-79.2392,64.53,88,35,11.5
137,Qaqortoq,GL,2022-04-27 22:33:44,60.7167,-46.0333,39.74,88,100,5.7
138,Scarborough,GB,2022-04-27 22:34:39,54.2797,-0.4044,44.17,77,100,3.0
139,Portland,US,2022-04-27 22:30:10,45.5234,-122.6762,59.0,64,75,9.22
140,Saskylakh,RU,2022-04-27 22:34:40,71.9167,114.0833,4.8,99,95,4.5
141,Barro,BR,2022-04-27 22:33:30,-6.7167,-38.8667,75.47,67,97,2.26
142,San Vicente,AR,2022-04-27 22:35:41,-26.6167,-54.1333,74.25,68,54,5.41
143,Kautokeino,NO,2022-04-27 22:35:41,69.0125,23.0412,7.5,95,89,3.87
144,Zhicheng,CN,2022-04-27 22:35:42,30.2956,111.5047,65.79,88,99,1.41
145,Pangnirtung,CA,2022-04-27 22:35:42,66.1451,-65.7125,8.6,56,20,3.44
146,Tukrah,LY,2022-04-27 22:35:42,32.5341,20.5791,66.43,45,15,15.61
147,Havoysund,NO,2022-04-27 22:35:43,70.9963,24.6622,26.83,69,100,24.54
148,Nizhnyaya Poyma,RU,2022-04-27 22:35:43,56.1622,97.1933,32.4,93,100,3.78
149,Dunedin,NZ,2022-04-27 22:30:49,-45.8742,170.5036,56.8,64,0,4.0
150,Qaanaaq,GL,2022-04-27 22:35:44,77.484,-69.3632,16.81,73,37,6.85
151,Otane,NZ,2022-04-27 22:35:44,-39.8833,176.6333,56.01,64,30,2.55
152,Ahipara,NZ,2022-04-27 22:35:44,-35.1667,173.1667,65.34,59,70,5.06
153,Klaksvik,FO,2022-04-27 22:35:46,62.2266,-6.589,43.72,73,98,5.14
154,Sampang,ID,2022-04-27 22:35:46,-7.1872,113.2394,80.33,79,100,3.76
155,Kulhudhuffushi,MV,2022-04-27 22:35:47,6.6221,73.07,84.02,72,97,2.91
156,Ladario,BR,2022-04-27 22:35:47,-19.0047,-57.6017,90.0,32,51,5.86
157,Morrope,PE,2022-04-27 22:35:47,-6.5417,-80.0111,71.71,72,31,14.99
158,Teseney,ER,2022-04-27 22:35:48,15.11,36.6575,87.51,8,28,10.65
159,Teya,RU,2022-04-27 22:35:48,60.3778,92.6267,33.35,97,100,3.51
160,Praia Da Vitoria,PT,2022-04-27 22:35:49,38.7333,-27.0667,64.65,94,75,24.65
161,Hunchun,CN,2022-04-27 22:35:49,42.8675,130.3581,50.95,32,52,2.53
162,Severo-Kurilsk,RU,2022-04-27 22:35:49,50.6789,156.125,35.28,84,32,22.95
163,Sarangani,PH,2022-04-27 22:35:50,5.4033,125.4636,80.56,81,99,12.59
164,Shimanovsk,RU,2022-04-27 22:35:50,52.0,127.7,38.97,39,1,9.55
165,Katherine,AU,2022-04-27 22:35:50,-14.4667,132.2667,77.32,83,75,4.61
166,Evensk,RU,2022-04-27 22:35:51,61.95,159.2333,34.9,92,99,20.47
